rating_stars,comment_text,review_date,product_id,customer_id,cluster_id,cluster_name,processing_status,processor_id,updated_at,id
5,"*** NHA. UỐNG KINH. TRả lại thì tiki yêu cầu khách hàng chứng minh là hàng nhái. Kiểu này lấy sp cacao đến cục đo lường chất lượng làm kiểm tra xong gửi cho tiki. May ra họ trả hàng. TIKI CAM KẾT HÀNG CHÍNH HÃNG, *** CẢ THÔI.",2026-04-24 08:50:24,1,1,,,ProcessingStatus.PENDING,,,1
2,"Đã nhận được hàng, nhân viên đào hàng nhiệt tình,vui vẻ. Hàng có mùi hôi không có vị thơm đặc trưng của cả cao.Cửa hàng lên xem lại hàng trước khi dạo cho khách",2024-08-16 13:59:38,1,2,,,ProcessingStatus.PENDING,,,2
5,"Tặng bạn đến 5 triệu đồng khi mời bạn mới thành công
Trở thành Đại sứ Octo ngay hôm nay và nhận đến 5 triệu đồng khi giới thiệu bạn mới đăng ký Tài khoản thanh toán, Thẻ ghi nợ CIMB Visa Debit hoặc Thẻ trả trước định danh CIMB Visa OctoFast

Thời gian khuyến mãi
Từ ngày 01/07/2024 đến ngày 31/12/2024 hoặc đến khi hết ngân sách cho Chương trình, tùy điều kiện nào đến trước.

Sản phẩm áp dụng
Tài khoản thanh toán (Spend Account), Thẻ ghi nợ CIMB Visa Debit (Thẻ CIMB Visa Debit) và Thẻ Trả trước định danh CIMB OctoFast (Thẻ CIMB Visa OctoFast) trên kênh Ngân hàng số OCTO by CIMB. Không áp dụng đối với sản phẩm đăng ký qua kênh đối tác.

Tài khoản thanh toán (Spend Account), Thẻ ghi nợ CIMB Visa Debit (Thẻ CIMB Visa Debit) và Thẻ Trả trước định danh CIMB OctoFast (Thẻ CIMB Visa OctoFast) trên kênh Ngân hàng số OCTO by CIMB. Không áp dụng đối với sản phẩm đăng ký qua kênh đối tác.

Đối tượng áp dụng
Đối với Người giới thiệu: Là Khách hàng cá nhân hiện hữu là chủ Tài khoản Spend Account, Thẻ CIMB Visa Debit, Thẻ CIMB Visa Octofast hoặc thẻ Tín dụng CIMB.
Đối với Người được giới thiệu: Người được giới thiệu phải là khách hàng mới, chưa sử dụng bất kỳ sản phẩm nào tại CIMB. Không áp dụng đối với khách hàng đăng ký tài khoản và Thẻ qua kênh đối tác.
Cách thức Chia sẻ Mã giới thiệu
Bước 1
Đăng nhập ứng dụng Octo

Bước 2
Chọn “Thiết lập” ở góc dưới bên phải màn hình

Bước 3
Chọn “Giới thiệu bạn” và Chia sẻ Mã giới thiệu của mình đến người thân, bạn bè

Thể lệ chương trình
Trả thưởng bằng tiền mặt vào tài khoản thanh toán (Spend Account) của Người Giới Thiệu và Người Được Giới Thiệu như sau:

 

a) Đối với sản phẩm Tài khoản thanh toán

Dành cho Người giới thiệu:
Tặng 50.000VNĐ cho mỗi lượt giới thiệu thành công khách hàng mới mở Tài khoản thanh toán (Spend Account) và Người được giới thiệu thực hiện ít nhất một giao dịch thành công và có tổng giá trị giao dịch từ 30.000 VNĐ (không áp dụng với giao dịch rút, chuyển tiền) trên Tài khoản thanh toán/Thẻ CIMB Visa Debit mới mở trong vòng 30 ngày kể từ ngày mở tài khoản
Dành cho Người được giới thiệu:

Tặng 50.000 VNĐ khi khách hàng kích hoạt Tài khoản thanh toán và có ít nhất một giao dịch thành công và có tổng giá trị giao dịch từ 30.000 VNĐ (không áp dụng với giao dịch rút, chuyển tiền) trên tài khoản trong 30 ngày kể từ ngày mở tài khoản.
 

b) Đối với sản phẩm Thẻ Trả trước định danh CIMB OctoFast

Dành cho Người giới thiệu:
Tặng 30.000VNĐ cho mỗi lượt giới thiệu thành công (*) khách hàng mới mở Thẻ CIMB Visa OctoFast và Người được giới thiệu thực hiện ít nhất một giao dịch thành công và có tổng giá trị giao dịch từ 30.000 VNĐ trên Thẻ CIMB Visa OctoFast mới mở trong vòng 30 ngày kể từ ngày kích hoạt thẻ;
Dành cho Người được giới thiệu:

Tặng 30.000VNĐ khi khách hàng kích hoạt Thẻ CIMB Visa OctoFast và có ít nhất một giao dịch thành công và có tổng giá trị giao dịch từ 30.000 VNĐ trên thẻ trong 30 ngày kể từ ngày kích hoạt Thẻ.
 

c) Tặng thưởng thêm trên số lượng giới thiệu thành công

Tặng thêm 1*** VND cho mỗi mốc đạt đủ số lượt giới thiệu thành công khách hàng mới mở Tài khoản thanh toán và/hoặc Thẻ OctoFast là bội số 10 (ví dụ 10 lượt, 20 lượt, 30 lượt, 40 lượt...) và Người được giới thiệu thỏa điều kiện giao dịch theo chương trình.
 

(*) Lượt giới thiệu thành công
Một lượt giới thiệu mở thẻ được xem là thành công khi:

Người được giới thiệu nhập mã giới thiệu hợp lệ của Người giới thiệu trong khi thực hiện quy trình mở Tài khoản thanh toán/Thẻ CIMB Visa Debit hoặc Thẻ Visa OctoFast;
Người được giới thiệu đăng ký mở tài khoản qua ứng dụng Octo by CIMB và mở Tài khoản thanh toán/Thẻ CIMB Visa Debit / thẻ Visa Octofast thành công và đáp ứng thể lệ của chương trình;
Mã giới thiệu hợp lệ là dãy ký tự được gán mặc định cho từng khách hàng trong mục “Giới thiệu bạn” trên ứng dụng Octo by CIMB và được hệ thống của CIMB chấp nhận;
Người được giới thiệu phải là khách hàng mới, chưa sử dụng bất kỳ sản phẩm nào tại CIMB. Không áp dụng đối với khách hàng đăng ký tài khoản và Thẻ qua kênh đối tác.
Mỗi Người giới thiệu đáp ứng đầy đủ điều khoản và điều kiện của Chương trình sẽ được nhận thưởng theo quy định với tổng mức thưởng tối đa không vượt quá 5.***VNĐ/Người giới thiệu.
Điều khoản & Điều kiện chương trình nhập mã giới thiệu2424Z6u2 để hưởng trọn vẹn tất cả các ưu đãi",2024-07-22 21:08:46,3,7,,,ProcessingStatus.PENDING,,,3
5,"mình mua hàng ở đây lâu rồi, dành để cho bà xã nhóm nha nhóp nhép. Hôm nay bất ngờ khi khui hàng, có quà tặng là xoài sấy dẻo, rất cảm động, tanh kiu shop nhaaa",2025-09-08 23:42:55,3,8,,,ProcessingStatus.PENDING,,,4
1,Giao sai sản phẩm. Gói hàng vậy mà 500g àh. *** vừa thôi chứ,2023-09-12 13:35:32,3,9,,,ProcessingStatus.PENDING,,,5
5,Ok,2024-03-10 10:42:09,3,10,,,ProcessingStatus.PENDING,,,6
4,Vị cơm hơi nhạt.,2023-06-15 21:44:22,3,11,,,ProcessingStatus.PENDING,,,7
5,"Ngon, giòn, thơm, chọn loại vụn để ăn cho rẻ nên rất phù hợp",2024-12-11 17:23:48,4,12,,,ProcessingStatus.PENDING,,,8
4,"Sp tot hop khau vi , it man , giao hang nhanh , hang giao dung mau da mo ta trong hinh .",2025-01-04 04:48:42,4,13,,,ProcessingStatus.PENDING,,,9
4,"Sp chat luong tot , hang giao dung mau hang da mo ta , giao hang dung hen .",2024-12-28 19:04:30,4,13,,,ProcessingStatus.PENDING,,,10
